row,did,name,version,uploader,status,format,MajorityClassSize,MaxNominalAttDistinctValues,MinorityClassSize,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures
62,62,zoo,1,1,active,ARFF,41.0,7.0,4.0,7.0,17.0,101.0,0.0,0.0,1.0,16.0
119,119,"BNG(cmc,nominal,55296)",1,1,active,ARFF,23655.0,4.0,12555.0,3.0,10.0,55296.0,0.0,0.0,0.0,10.0
137,137,BNG(tic-tac-toe),1,1,active,ARFF,25702.0,3.0,13664.0,2.0,10.0,39366.0,0.0,0.0,0.0,10.0
164,164,molecular-biology_promoters,1,1,active,ARFF,53.0,4.0,53.0,2.0,59.0,106.0,0.0,0.0,0.0,59.0
179,179,adult,1,1,active,ARFF,37155.0,41.0,11687.0,2.0,15.0,48842.0,3620.0,6465.0,2.0,13.0
181,181,yeast,1,1,active,ARFF,463.0,10.0,5.0,10.0,9.0,1484.0,0.0,0.0,8.0,1.0
183,183,abalone,1,1,active,ARFF,689.0,28.0,1.0,28.0,9.0,4177.0,0.0,0.0,7.0,2.0
184,184,kropt,1,1,active,ARFF,4553.0,18.0,27.0,18.0,7.0,28056.0,0.0,0.0,0.0,7.0
185,185,baseball,1,1,active,ARFF,1215.0,7.0,57.0,3.0,18.0,1340.0,20.0,20.0,15.0,3.0
187,187,wine,1,1,active,ARFF,71.0,3.0,48.0,3.0,14.0,178.0,0.0,0.0,13.0,1.0
251,251,BNG(breast-w),1,1,active,ARFF,25820.0,2.0,13546.0,2.0,10.0,39366.0,0.0,0.0,9.0,1.0
255,255,BNG(cmc),1,1,active,ARFF,23567.0,4.0,12447.0,3.0,10.0,55296.0,0.0,0.0,2.0,8.0
275,275,meta_all.arff,1,1,active,ARFF,42.0,6.0,2.0,6.0,63.0,71.0,0.0,0.0,62.0,1.0
276,276,meta_batchincremental.arff,1,1,active,ARFF,50.0,4.0,3.0,4.0,63.0,74.0,0.0,0.0,62.0,1.0
277,277,meta_ensembles.arff,1,1,active,ARFF,45.0,4.0,5.0,4.0,63.0,74.0,0.0,0.0,62.0,1.0
278,278,meta_instanceincremental.arff,1,1,active,ARFF,54.0,4.0,3.0,4.0,63.0,74.0,0.0,0.0,62.0,1.0
279,279,meta_stream_intervals.arff,1,1,active,ARFF,23021.0,11.0,73.0,11.0,75.0,45164.0,0.0,0.0,74.0,1.0
285,285,flags,1,2,active,ARFF,60.0,14.0,4.0,8.0,30.0,194.0,0.0,0.0,2.0,28.0
310,310,mammography,1,94,active,ARFF,10923.0,2.0,260.0,2.0,7.0,11183.0,0.0,0.0,6.0,1.0
311,311,oil_spill,1,94,active,ARFF,896.0,2.0,41.0,2.0,50.0,937.0,0.0,0.0,49.0,1.0
312,312,scene,1,94,active,ARFF,1976.0,2.0,431.0,2.0,300.0,2407.0,0.0,0.0,294.0,6.0
313,313,spectrometer,1,94,active,ARFF,55.0,531.0,1.0,48.0,103.0,531.0,0.0,0.0,100.0,3.0
316,316,yeast_ml8,1,94,active,ARFF,2383.0,2.0,34.0,2.0,117.0,2417.0,0.0,0.0,103.0,14.0
329,329,hayes-roth,1,2,active,ARFF,65.0,3.0,31.0,3.0,5.0,160.0,0.0,0.0,4.0,1.0
333,333,monks-problems-1,1,2,active,ARFF,278.0,4.0,278.0,2.0,7.0,556.0,0.0,0.0,0.0,7.0
334,334,monks-problems-2,1,2,active,ARFF,395.0,4.0,206.0,2.0,7.0,601.0,0.0,0.0,0.0,7.0
335,335,monks-problems-3,1,2,active,ARFF,288.0,4.0,266.0,2.0,7.0,554.0,0.0,0.0,0.0,7.0
336,336,SPECT,1,2,active,ARFF,212.0,2.0,55.0,2.0,23.0,267.0,0.0,0.0,0.0,23.0
337,337,SPECTF,1,2,active,ARFF,254.0,2.0,95.0,2.0,45.0,349.0,0.0,0.0,44.0,1.0
338,338,grub-damage,1,2,active,ARFF,49.0,21.0,19.0,4.0,9.0,155.0,0.0,0.0,2.0,7.0
339,339,pasture,1,2,active,ARFF,12.0,4.0,12.0,3.0,23.0,36.0,0.0,0.0,21.0,2.0
340,340,squash-stored,1,2,active,ARFF,23.0,22.0,8.0,3.0,25.0,52.0,2.0,7.0,21.0,4.0
343,343,white-clover,1,2,active,ARFF,38.0,7.0,1.0,4.0,32.0,63.0,0.0,0.0,27.0,5.0
350,350,webdata_wXa,1,167,active,Sparse_ARFF,28100.0,2.0,8874.0,2.0,124.0,36974.0,0.0,0.0,123.0,1.0
375,375,JapaneseVowels,1,2,active,ARFF,1614.0,9.0,782.0,9.0,15.0,9961.0,0.0,0.0,14.0,1.0
377,377,synthetic_control,1,2,active,ARFF,100.0,6.0,100.0,6.0,62.0,600.0,0.0,0.0,60.0,2.0
384,384,tr21.wc,1,2,active,Sparse_ARFF,231.0,6.0,4.0,6.0,7903.0,336.0,0.0,0.0,7902.0,1.0
387,387,tr11.wc,1,2,active,Sparse_ARFF,132.0,9.0,6.0,9.0,6430.0,414.0,0.0,0.0,6429.0,1.0
388,388,tr23.wc,1,2,active,Sparse_ARFF,91.0,6.0,6.0,6.0,5833.0,204.0,0.0,0.0,5832.0,1.0
389,389,fbis.wc,1,2,active,Sparse_ARFF,506.0,17.0,38.0,17.0,2001.0,2463.0,0.0,0.0,2000.0,1.0
391,391,re0.wc,1,2,active,Sparse_ARFF,608.0,13.0,11.0,13.0,2887.0,1504.0,0.0,0.0,2886.0,1.0
392,392,oh0.wc,1,2,active,Sparse_ARFF,194.0,10.0,51.0,10.0,3183.0,1003.0,0.0,0.0,3182.0,1.0
397,397,tr12.wc,1,2,active,Sparse_ARFF,93.0,8.0,9.0,8.0,5805.0,313.0,0.0,0.0,5804.0,1.0
401,401,oh10.wc,1,2,active,Sparse_ARFF,165.0,10.0,52.0,10.0,3239.0,1050.0,0.0,0.0,3238.0,1.0
443,443,analcatdata_broadway,1,2,active,ARFF,68.0,7.0,1.0,5.0,10.0,95.0,6.0,9.0,3.0,7.0
444,444,analcatdata_boxing2,1,2,active,ARFF,71.0,12.0,61.0,2.0,4.0,132.0,0.0,0.0,0.0,4.0
448,448,analcatdata_boxing1,1,2,active,ARFF,78.0,12.0,42.0,2.0,4.0,120.0,0.0,0.0,0.0,4.0
449,449,analcatdata_homerun,1,2,active,ARFF,101.0,7.0,1.0,5.0,28.0,163.0,1.0,9.0,13.0,15.0
450,450,analcatdata_lawsuit,1,2,active,ARFF,245.0,2.0,19.0,2.0,5.0,264.0,0.0,0.0,3.0,2.0
451,451,irish,1,2,active,ARFF,278.0,10.0,222.0,2.0,6.0,500.0,32.0,32.0,2.0,4.0
452,452,analcatdata_broadwaymult,1,2,active,ARFF,118.0,95.0,21.0,7.0,8.0,285.0,18.0,27.0,3.0,5.0
453,453,analcatdata_bondrate,1,2,active,ARFF,33.0,10.0,1.0,5.0,12.0,57.0,1.0,1.0,4.0,8.0
454,454,analcatdata_halloffame,1,2,active,ARFF,1215.0,7.0,57.0,3.0,18.0,1340.0,20.0,20.0,15.0,3.0
455,455,cars,1,2,active,ARFF,254.0,5.0,73.0,3.0,9.0,406.0,14.0,14.0,6.0,3.0
457,457,prnn_cushings,1,2,active,ARFF,12.0,4.0,2.0,4.0,4.0,27.0,0.0,0.0,2.0,2.0
459,459,analcatdata_asbestos,1,2,active,ARFF,46.0,3.0,37.0,2.0,4.0,83.0,0.0,0.0,1.0,3.0
461,461,analcatdata_creditscore,1,2,active,ARFF,73.0,6.0,27.0,2.0,7.0,100.0,0.0,0.0,3.0,4.0
462,462,analcatdata_challenger,1,2,active,ARFF,16.0,3.0,2.0,3.0,6.0,23.0,0.0,0.0,1.0,5.0
463,463,backache,1,2,active,ARFF,155.0,10.0,25.0,2.0,33.0,180.0,0.0,0.0,6.0,27.0
464,464,prnn_synth,1,2,active,ARFF,125.0,2.0,125.0,2.0,3.0,250.0,0.0,0.0,2.0,1.0
465,465,analcatdata_cyyoung8092,1,2,active,ARFF,73.0,62.0,24.0,2.0,11.0,97.0,0.0,0.0,7.0,4.0
467,467,analcatdata_japansolvent,1,2,active,ARFF,27.0,2.0,25.0,2.0,10.0,52.0,0.0,0.0,8.0,2.0
468,468,confidence,1,2,active,ARFF,12.0,6.0,12.0,6.0,4.0,72.0,0.0,0.0,3.0,1.0
472,472,lupus,1,2,active,ARFF,52.0,2.0,35.0,2.0,4.0,87.0,0.0,0.0,3.0,1.0
475,475,analcatdata_germangss,1,2,active,ARFF,100.0,5.0,100.0,4.0,6.0,400.0,0.0,0.0,1.0,5.0
476,476,analcatdata_bankruptcy,1,2,active,ARFF,25.0,2.0,25.0,2.0,7.0,50.0,0.0,0.0,5.0,2.0
477,477,fl2000,1,2,active,ARFF,41.0,5.0,1.0,5.0,17.0,67.0,0.0,0.0,14.0,3.0
479,479,analcatdata_cyyoung9302,1,2,active,ARFF,73.0,9.0,19.0,2.0,11.0,92.0,0.0,0.0,6.0,5.0
480,480,prnn_viruses,1,2,active,ARFF,39.0,10.0,3.0,4.0,19.0,61.0,0.0,0.0,10.0,9.0
481,481,biomed,1,2,active,ARFF,134.0,7.0,75.0,2.0,9.0,209.0,15.0,15.0,7.0,2.0
488,488,colleges_aaup,1,2,active,ARFF,617.0,52.0,1.0,4.0,17.0,1161.0,87.0,256.0,14.0,3.0
679,679,rmftsa_sleepdata,1,2,active,ARFF,404.0,4.0,94.0,4.0,3.0,1024.0,0.0,0.0,2.0,1.0
682,682,sleuth_ex2016,1,2,active,ARFF,51.0,2.0,36.0,2.0,11.0,87.0,0.0,0.0,9.0,2.0
683,683,sleuth_ex2015,1,2,active,ARFF,30.0,2.0,30.0,2.0,8.0,60.0,0.0,0.0,7.0,1.0
685,685,visualizing_livestock,1,2,active,ARFF,26.0,26.0,26.0,5.0,3.0,130.0,0.0,0.0,1.0,2.0
694,694,diggle_table_a2,1,2,active,ARFF,41.0,9.0,18.0,9.0,9.0,310.0,0.0,0.0,8.0,1.0
713,713,vineyard,2,2,active,ARFF,28.0,2.0,24.0,2.0,4.0,52.0,0.0,0.0,3.0,1.0
714,714,fruitfly,2,2,active,ARFF,76.0,3.0,49.0,2.0,5.0,125.0,0.0,0.0,2.0,3.0
715,715,fri_c3_1000_25,2,2,active,ARFF,557.0,2.0,443.0,2.0,26.0,1000.0,0.0,0.0,25.0,1.0
716,716,fri_c3_100_50,2,2,active,ARFF,62.0,2.0,38.0,2.0,51.0,100.0,0.0,0.0,50.0,1.0
717,717,rmftsa_ladata,2,2,active,ARFF,286.0,2.0,222.0,2.0,11.0,508.0,0.0,0.0,10.0,1.0
718,718,fri_c4_1000_100,2,2,active,ARFF,564.0,2.0,436.0,2.0,101.0,1000.0,0.0,0.0,100.0,1.0
719,719,veteran,2,2,active,ARFF,94.0,4.0,43.0,2.0,8.0,137.0,0.0,0.0,3.0,5.0
720,720,abalone,2,2,active,ARFF,2096.0,3.0,2081.0,2.0,9.0,4177.0,0.0,0.0,7.0,2.0
721,721,pwLinear,2,2,active,ARFF,103.0,2.0,97.0,2.0,11.0,200.0,0.0,0.0,10.0,1.0
722,722,pol,2,2,active,ARFF,9959.0,2.0,5041.0,2.0,49.0,15000.0,0.0,0.0,48.0,1.0
723,723,fri_c4_1000_25,2,2,active,ARFF,547.0,2.0,453.0,2.0,26.0,1000.0,0.0,0.0,25.0,1.0
724,724,analcatdata_vineyard,2,2,active,ARFF,260.0,9.0,208.0,2.0,4.0,468.0,0.0,0.0,2.0,2.0
725,725,bank8FM,2,2,active,ARFF,4885.0,2.0,3307.0,2.0,9.0,8192.0,0.0,0.0,8.0,1.0
726,726,fri_c2_100_5,2,2,active,ARFF,60.0,2.0,40.0,2.0,6.0,100.0,0.0,0.0,5.0,1.0
727,727,2dplanes,2,2,active,ARFF,20420.0,2.0,20348.0,2.0,11.0,40768.0,0.0,0.0,10.0,1.0
728,728,analcatdata_supreme,2,2,active,ARFF,3081.0,2.0,971.0,2.0,8.0,4052.0,0.0,0.0,7.0,1.0
729,729,visualizing_slope,2,2,active,ARFF,27.0,2.0,17.0,2.0,4.0,44.0,0.0,0.0,3.0,1.0
730,730,fri_c1_250_5,2,2,active,ARFF,131.0,2.0,119.0,2.0,6.0,250.0,0.0,0.0,5.0,1.0
731,731,baskball,2,2,active,ARFF,49.0,2.0,47.0,2.0,5.0,96.0,0.0,0.0,4.0,1.0
732,732,fri_c0_250_50,2,2,active,ARFF,133.0,2.0,117.0,2.0,51.0,250.0,0.0,0.0,50.0,1.0
733,733,machine_cpu,2,2,active,ARFF,153.0,2.0,56.0,2.0,7.0,209.0,0.0,0.0,6.0,1.0
734,734,ailerons,2,2,active,ARFF,7922.0,2.0,5828.0,2.0,41.0,13750.0,0.0,0.0,40.0,1.0
735,735,cpu_small,3,2,active,ARFF,5715.0,2.0,2477.0,2.0,13.0,8192.0,0.0,0.0,12.0,1.0
736,736,visualizing_environmental,2,2,active,ARFF,58.0,2.0,53.0,2.0,4.0,111.0,0.0,0.0,3.0,1.0
737,737,space_ga,2,2,active,ARFF,1566.0,2.0,1541.0,2.0,7.0,3107.0,0.0,0.0,6.0,1.0
738,738,pharynx,2,2,active,ARFF,121.0,6.0,74.0,2.0,12.0,195.0,2.0,2.0,1.0,11.0
740,740,fri_c3_1000_10,2,2,active,ARFF,560.0,2.0,440.0,2.0,11.0,1000.0,0.0,0.0,10.0,1.0
741,741,rmftsa_sleepdata,2,2,active,ARFF,515.0,4.0,509.0,2.0,3.0,1024.0,0.0,0.0,1.0,2.0
742,742,fri_c4_500_100,2,2,active,ARFF,283.0,2.0,217.0,2.0,101.0,500.0,0.0,0.0,100.0,1.0
743,743,fri_c1_1000_5,2,2,active,ARFF,543.0,2.0,457.0,2.0,6.0,1000.0,0.0,0.0,5.0,1.0
744,744,fri_c3_250_5,2,2,active,ARFF,141.0,2.0,109.0,2.0,6.0,250.0,0.0,0.0,5.0,1.0
745,745,auto_price,2,2,active,ARFF,105.0,6.0,54.0,2.0,16.0,159.0,0.0,0.0,14.0,2.0
746,746,fri_c1_250_25,2,2,active,ARFF,143.0,2.0,107.0,2.0,26.0,250.0,0.0,0.0,25.0,1.0
747,747,servo,1,2,active,ARFF,129.0,5.0,38.0,2.0,5.0,167.0,0.0,0.0,0.0,5.0
748,748,analcatdata_wildcat,2,2,active,ARFF,116.0,2.0,47.0,2.0,6.0,163.0,0.0,0.0,3.0,3.0
749,749,fri_c3_500_5,2,2,active,ARFF,263.0,2.0,237.0,2.0,6.0,500.0,0.0,0.0,5.0,1.0
750,750,pm10,2,2,active,ARFF,254.0,2.0,246.0,2.0,8.0,500.0,0.0,0.0,7.0,1.0
751,751,fri_c4_1000_10,2,2,active,ARFF,560.0,2.0,440.0,2.0,11.0,1000.0,0.0,0.0,10.0,1.0
752,752,puma32H,2,2,active,ARFF,4128.0,2.0,4064.0,2.0,33.0,8192.0,0.0,0.0,32.0,1.0
753,753,wisconsin,2,2,active,ARFF,104.0,2.0,90.0,2.0,33.0,194.0,0.0,0.0,32.0,1.0
754,754,fri_c0_100_5,2,2,active,ARFF,54.0,2.0,46.0,2.0,6.0,100.0,0.0,0.0,5.0,1.0
755,755,sleuth_ex1605,2,2,active,ARFF,31.0,2.0,31.0,2.0,6.0,62.0,0.0,0.0,5.0,1.0
756,756,autoPrice,2,2,active,ARFF,105.0,2.0,54.0,2.0,16.0,159.0,0.0,0.0,15.0,1.0
758,758,analcatdata_election2000,2,2,active,ARFF,49.0,2.0,18.0,2.0,16.0,67.0,0.0,0.0,14.0,2.0
759,759,analcatdata_olympic2000,2,2,active,ARFF,33.0,2.0,33.0,2.0,13.0,66.0,0.0,0.0,11.0,2.0
761,761,cpu_act,3,2,active,ARFF,5715.0,2.0,2477.0,2.0,22.0,8192.0,0.0,0.0,21.0,1.0
762,762,fri_c2_100_10,2,2,active,ARFF,55.0,2.0,45.0,2.0,11.0,100.0,0.0,0.0,10.0,1.0
763,763,fri_c0_250_10,2,2,active,ARFF,125.0,2.0,125.0,2.0,11.0,250.0,0.0,0.0,10.0,1.0
764,764,analcatdata_apnea3,2,2,active,ARFF,395.0,5.0,55.0,2.0,4.0,450.0,0.0,0.0,1.0,3.0
765,765,analcatdata_apnea2,2,2,active,ARFF,411.0,5.0,64.0,2.0,4.0,475.0,0.0,0.0,1.0,3.0
766,766,fri_c1_500_50,2,2,active,ARFF,262.0,2.0,238.0,2.0,51.0,500.0,0.0,0.0,50.0,1.0
767,767,analcatdata_apnea1,2,2,active,ARFF,414.0,5.0,61.0,2.0,4.0,475.0,0.0,0.0,1.0,3.0
768,768,fri_c3_100_25,2,2,active,ARFF,55.0,2.0,45.0,2.0,26.0,100.0,0.0,0.0,25.0,1.0
769,769,fri_c1_250_50,2,2,active,ARFF,137.0,2.0,113.0,2.0,51.0,250.0,0.0,0.0,50.0,1.0
770,770,strikes,2,2,active,ARFF,315.0,2.0,310.0,2.0,7.0,625.0,0.0,0.0,6.0,1.0
771,771,analcatdata_michiganacc,2,2,active,ARFF,60.0,12.0,48.0,2.0,5.0,108.0,0.0,0.0,2.0,3.0
772,772,quake,3,2,active,ARFF,1209.0,2.0,969.0,2.0,4.0,2178.0,0.0,0.0,3.0,1.0
773,773,fri_c0_250_25,2,2,active,ARFF,126.0,2.0,124.0,2.0,26.0,250.0,0.0,0.0,25.0,1.0
774,774,disclosure_x_bias,2,2,active,ARFF,345.0,2.0,317.0,2.0,4.0,662.0,0.0,0.0,3.0,1.0
775,775,fri_c2_100_25,2,2,active,ARFF,57.0,2.0,43.0,2.0,26.0,100.0,0.0,0.0,25.0,1.0
776,776,fri_c0_250_5,2,2,active,ARFF,125.0,2.0,125.0,2.0,6.0,250.0,0.0,0.0,5.0,1.0
777,777,sleuth_ex1714,2,2,active,ARFF,27.0,2.0,20.0,2.0,8.0,47.0,0.0,0.0,7.0,1.0
778,778,bodyfat,2,2,active,ARFF,128.0,2.0,124.0,2.0,15.0,252.0,0.0,0.0,14.0,1.0
779,779,fri_c1_500_25,2,2,active,ARFF,267.0,2.0,233.0,2.0,26.0,500.0,0.0,0.0,25.0,1.0
780,780,rabe_265,2,2,active,ARFF,30.0,2.0,21.0,2.0,7.0,51.0,0.0,0.0,6.0,1.0
782,782,rabe_266,2,2,active,ARFF,63.0,2.0,57.0,2.0,3.0,120.0,0.0,0.0,2.0,1.0
783,783,fri_c3_100_10,2,2,active,ARFF,60.0,2.0,40.0,2.0,11.0,100.0,0.0,0.0,10.0,1.0
784,784,newton_hema,2,2,active,ARFF,70.0,11.0,70.0,2.0,4.0,140.0,0.0,0.0,2.0,2.0
785,785,wind_correlations,2,2,active,ARFF,23.0,2.0,22.0,2.0,47.0,45.0,0.0,0.0,46.0,1.0
786,786,cleveland,2,2,active,ARFF,164.0,4.0,139.0,2.0,14.0,303.0,6.0,6.0,6.0,8.0
787,787,witmer_census_1980,2,2,active,ARFF,26.0,2.0,24.0,2.0,6.0,50.0,0.0,0.0,4.0,2.0
788,788,triazines,2,2,active,ARFF,109.0,2.0,77.0,2.0,61.0,186.0,0.0,0.0,60.0,1.0
789,789,fri_c1_100_10,2,2,active,ARFF,53.0,2.0,47.0,2.0,11.0,100.0,0.0,0.0,10.0,1.0
790,790,elusage,2,2,active,ARFF,31.0,12.0,24.0,2.0,3.0,55.0,0.0,0.0,1.0,2.0
791,791,diabetes_numeric,2,2,active,ARFF,26.0,2.0,17.0,2.0,3.0,43.0,0.0,0.0,2.0,1.0
792,792,fri_c2_500_5,2,2,active,ARFF,298.0,2.0,202.0,2.0,6.0,500.0,0.0,0.0,5.0,1.0
793,793,fri_c3_250_10,2,2,active,ARFF,135.0,2.0,115.0,2.0,11.0,250.0,0.0,0.0,10.0,1.0
794,794,fri_c2_250_25,2,2,active,ARFF,139.0,2.0,111.0,2.0,26.0,250.0,0.0,0.0,25.0,1.0
795,795,disclosure_x_tampered,2,2,active,ARFF,335.0,2.0,327.0,2.0,4.0,662.0,0.0,0.0,3.0,1.0
796,796,cpu,2,2,active,ARFF,156.0,30.0,53.0,2.0,8.0,209.0,0.0,0.0,6.0,2.0
797,797,fri_c4_1000_50,2,2,active,ARFF,560.0,2.0,440.0,2.0,51.0,1000.0,0.0,0.0,50.0,1.0
798,798,cholesterol,2,2,active,ARFF,166.0,4.0,137.0,2.0,14.0,303.0,6.0,6.0,6.0,8.0
799,799,fri_c0_1000_5,2,2,active,ARFF,503.0,2.0,497.0,2.0,6.0,1000.0,0.0,0.0,5.0,1.0
800,800,pyrim,2,2,active,ARFF,43.0,2.0,31.0,2.0,28.0,74.0,0.0,0.0,27.0,1.0
801,801,chscase_funds,2,2,active,ARFF,98.0,2.0,87.0,2.0,4.0,185.0,0.0,0.0,2.0,2.0
803,803,delta_ailerons,1,2,active,ARFF,3783.0,2.0,3346.0,2.0,6.0,7129.0,0.0,0.0,5.0,1.0
804,804,hutsof99_logis,2,2,active,ARFF,36.0,4.0,34.0,2.0,8.0,70.0,0.0,0.0,3.0,5.0
805,805,fri_c4_500_50,2,2,active,ARFF,264.0,2.0,236.0,2.0,51.0,500.0,0.0,0.0,50.0,1.0
806,806,fri_c3_1000_50,2,2,active,ARFF,555.0,2.0,445.0,2.0,51.0,1000.0,0.0,0.0,50.0,1.0
807,807,kin8nm,2,2,active,ARFF,4168.0,2.0,4024.0,2.0,9.0,8192.0,0.0,0.0,8.0,1.0
808,808,fri_c0_100_10,2,2,active,ARFF,55.0,2.0,45.0,2.0,11.0,100.0,0.0,0.0,10.0,1.0
811,811,rmftsa_ctoarrivals,2,2,active,ARFF,163.0,12.0,101.0,2.0,3.0,264.0,0.0,0.0,1.0,2.0
812,812,fri_c1_100_25,2,2,active,ARFF,53.0,2.0,47.0,2.0,26.0,100.0,0.0,0.0,25.0,1.0
813,813,fri_c3_1000_5,2,2,active,ARFF,563.0,2.0,437.0,2.0,6.0,1000.0,0.0,0.0,5.0,1.0
814,814,chscase_vine2,2,2,active,ARFF,256.0,2.0,212.0,2.0,3.0,468.0,0.0,0.0,2.0,1.0
815,815,chscase_vine1,2,2,active,ARFF,28.0,2.0,24.0,2.0,10.0,52.0,0.0,0.0,9.0,1.0
816,816,puma8NH,2,2,active,ARFF,4114.0,2.0,4078.0,2.0,9.0,8192.0,0.0,0.0,8.0,1.0
817,817,diggle_table_a1,2,2,active,ARFF,25.0,2.0,23.0,2.0,5.0,48.0,0.0,0.0,4.0,1.0
818,818,diggle_table_a2,2,2,active,ARFF,165.0,9.0,145.0,2.0,9.0,310.0,0.0,0.0,7.0,2.0
819,819,delta_elevators,3,2,active,ARFF,4785.0,2.0,4732.0,2.0,7.0,9517.0,0.0,0.0,6.0,1.0
820,820,chatfield_4,2,2,active,ARFF,142.0,2.0,93.0,2.0,13.0,235.0,0.0,0.0,12.0,1.0
821,821,house_16H,2,2,active,ARFF,16040.0,2.0,6744.0,2.0,17.0,22784.0,0.0,0.0,16.0,1.0
823,823,houses,2,2,active,ARFF,11726.0,2.0,8914.0,2.0,9.0,20640.0,0.0,0.0,8.0,1.0
824,824,fri_c1_500_10,2,2,active,ARFF,274.0,2.0,226.0,2.0,11.0,500.0,0.0,0.0,10.0,1.0
825,825,boston_corrected,2,2,active,ARFF,283.0,92.0,223.0,2.0,21.0,506.0,0.0,0.0,17.0,4.0
826,826,sensory,2,2,active,ARFF,337.0,6.0,239.0,2.0,12.0,576.0,0.0,0.0,0.0,12.0
827,827,disclosure_x_noise,2,2,active,ARFF,333.0,2.0,329.0,2.0,4.0,662.0,0.0,0.0,3.0,1.0
828,828,fri_c4_100_100,2,2,active,ARFF,53.0,2.0,47.0,2.0,101.0,100.0,0.0,0.0,100.0,1.0
829,829,fri_c1_100_5,2,2,active,ARFF,55.0,2.0,45.0,2.0,6.0,100.0,0.0,0.0,5.0,1.0
830,830,fri_c2_250_10,2,2,active,ARFF,159.0,2.0,91.0,2.0,11.0,250.0,0.0,0.0,10.0,1.0
831,831,autoMpg,2,2,active,ARFF,209.0,13.0,189.0,2.0,8.0,398.0,6.0,6.0,4.0,4.0
832,832,fri_c3_250_25,2,2,active,ARFF,139.0,2.0,111.0,2.0,26.0,250.0,0.0,0.0,25.0,1.0
833,833,bank32nh,2,2,active,ARFF,5649.0,2.0,2543.0,2.0,33.0,8192.0,0.0,0.0,32.0,1.0
834,834,fri_c4_250_100,2,2,active,ARFF,140.0,2.0,110.0,2.0,101.0,250.0,0.0,0.0,100.0,1.0
835,835,analcatdata_vehicle,2,2,active,ARFF,27.0,6.0,21.0,2.0,5.0,48.0,0.0,0.0,0.0,5.0
836,836,sleuth_case1102,2,2,active,ARFF,19.0,3.0,15.0,2.0,9.0,34.0,0.0,0.0,5.0,4.0
837,837,fri_c1_1000_50,2,2,active,ARFF,547.0,2.0,453.0,2.0,51.0,1000.0,0.0,0.0,50.0,1.0
838,838,fri_c4_500_25,2,2,active,ARFF,284.0,2.0,216.0,2.0,26.0,500.0,0.0,0.0,25.0,1.0
841,841,stock,2,2,active,ARFF,488.0,2.0,462.0,2.0,10.0,950.0,0.0,0.0,9.0,1.0
843,843,house_8L,2,2,active,ARFF,16040.0,2.0,6744.0,2.0,9.0,22784.0,0.0,0.0,8.0,1.0
844,844,breastTumor,2,2,active,ARFF,166.0,18.0,120.0,2.0,10.0,286.0,9.0,9.0,1.0,9.0
